day,type,holiday,from
2021.06.12,1,День России,
2021.06.14,1,,
2021.10.30,1,Нерабочие дни (Указ Президента от 20.10.2021 №595),
2021.10.31,1,Нерабочие дни (Указ Президента от 20.10.2021 №595),
2021.11.01,1,Нерабочие дни (Указ Президента от 20.10.2021 №595),
2021.11.02,1,Нерабочие дни (Указ Президента от 20.10.2021 №595),
2021.11.03,1,Нерабочие дни (Указ Президента от 20.10.2021 №595),
2021.11.04,1,День народного единства,
2021.11.05,1,,2021.01.02
2021.12.31,1,,2021.01.03
2022.01.01,1,Новогодние каникулы,
2022.01.02,1,Новогодние каникулы,
2022.01.03,1,Новогодние каникулы,
2022.01.04,1,Новогодние каникулы,
2022.01.05,1,Новогодние каникулы,
2022.01.06,1,Новогодние каникулы,
2022.01.07,1,Рождество Христово,
2022.01.08,1,Новогодние каникулы,
2022.02.22,2,,
2022.02.23,1,День защитника Отечества,
2022.03.05,2,,
2022.03.07,1,,2022.03.05
2022.03.08,1,Международный женский день,
2022.05.01,1,Праздник Весны и Труда,
2022.05.02,1,,2022.05.01
2022.05.03,1,,2022.01.01
2022.05.09,1,День Победы,
2022.05.10,1,,2022.01.02
2022.06.12,1,День России,
2022.06.13,1,,2022.06.12
2022.11.03,2,,
2022.11.04,1,День народного единства,
2023.01.01,1,Новогодние каникулы,
2023.01.02,1,Новогодние каникулы,
2023.01.03,1,Новогодние каникулы,
2023.01.04,1,Новогодние каникулы,
2023.01.05,1,Новогодние каникулы,
2023.01.06,1,Новогодние каникулы,
2023.01.07,1,Рождество Христово,
2023.01.08,1,Новогодние каникулы,
2023.02.22,2,,
2023.02.23,1,День защитника Отечества,
2023.02.24,1,,2023.01.01
2023.03.07,2,,
2023.03.08,1,Международный женский день,
2023.05.01,1,Праздник Весны и Труда,
2023.05.08,1,,2023.01.08
2023.05.09,1,День Победы,
2023.06.12,1,День России,
2023.11.03,2,,
2023.11.04,1,День народного единства,
2023.11.06,1,,2023.11.04
